nombre_farmacia,calle,numero,colonia,ciudad,codigo_postal,latitud,longitud
ACAPULCO 1,ACAPULCO DE JUAREZ,ED A,PROGRESO,ACAPULCO DE JUAREZ,39350,16.86016,-99.90353
ACAPULCO 10,ACAPULCO DE JUAREZ,8,ALTA PROGRESO,ACAPULCO DE JUAREZ,39610,16.87317,-99.89115
ACAPULCO 11,ACAPULCO DE JUAREZ,LT 10,LA ESPERANZA,ACAPULCO DE JUAREZ,39610,16.84682,-99.81231
ACAPULCO 13,ACAPULCO DE JUAREZ,36,LAS CRUCES,ACAPULCO DE JUAREZ,39902,16.88586,-99.83698
ACAPULCO 14,ACAPULCO DE JUAREZ,129,PROGRESO,ACAPULCO DE JUAREZ,39350,16.85863,-99.89725
ACAPULCO 17,ACAPULCO DE JUAREZ,70 Y 71,EX EJIDO DE SANTA CRUZ,ACAPULCO DE JUAREZ,39530,16.86327,-99.90348
ACAPULCO 19,ACAPULCO DE JUAREZ,2DASECCION,PROGRESO,ACAPULCO DE JUAREZ,39350,16.86561,-99.89405
ACAPULCO 2,ACAPULCO DE JUAREZ,KM-393-394,LIBERTADORES,ACAPULCO DE JUAREZ,39770,16.8943,-99.83355
ACAPULCO 21,ACAPULCO DE JUAREZ,43-C,ACAPULCO DE JUAREZ CENTRO,ACAPULCO DE JUAREZ,39300,16.85372,-99.90617
ACAPULCO 22,ACAPULCO DE JUAREZ,S/N,FRACCIONAMIENTO MAGALLANES,ACAPULCO DE JUAREZ,39670,16.86064,-99.8817
ACAPULCO 23,ACAPULCO DE JUAREZ,13,ACAPULCO DE JUAREZ CENTRO,ACAPULCO DE JUAREZ,39300,16.85148,-99.90702
ACAPULCO 24,ACAPULCO DE JUAREZ,LT 15,EXCAMPO DE TIRO,ACAPULCO DE JUAREZ,39422,16.87517,-99.87584
ACAPULCO 27,ACAPULCO DE JUAREZ,S/N,RENACIMIENTO,ACAPULCO DE JUAREZ,39715,16.89477,-99.83262
ACAPULCO 28,ACAPULCO DE JUAREZ,1401 LTA,EL PROGRESO,ACAPULCO DE JUAREZ,39350,16.86967,-99.89697
ACAPULCO 29,ACAPULCO DE JUAREZ,701,FRACCIONAMIENTO HORNOS,ACAPULCO DE JUAREZ,39355,16.85402,-99.90045
ACAPULCO 3,ACAPULCO DE JUAREZ,330,CENTRO,ACAPULCO DE JUAREZ,39300,16.84922,-99.90643
ACAPULCO 30,ACAPULCO DE JUAREZ,2,CENTRO,ACAPULCO DE JUAREZ,39300,16.84901,-99.90825
ACAPULCO 31,ACAPULCO DE JUAREZ,LOTE 13,FRACCIONAMIENTO COSTA AZUL,ACAPULCO DE JUAREZ,39850,16.84272,-99.84889
ACAPULCO 32,ACAPULCO DE JUAREZ,485,AGUAS BLANCAS,ACAPULCO DE JUAREZ,39589,16.86253,-99.90773
ACAPULCO 33,ACAPULCO DE JUAREZ,802,EL PROGRESO,ACAPULCO DE JUAREZ,39350,16.85816,-99.89895
ACAPULCO 34,ACAPULCO DE JUAREZ,202,LIBERTADORES,ACAPULCO DE JUAREZ,39770,16.8905,-99.83604
ACAPULCO 35,ACAPULCO DE JUAREZ,.,LA ZANJA O LA POZA,ACAPULCO DE JUAREZ,39906,16.77965,-99.78362
ACAPULCO 36,ACAPULCO DE JUAREZ,234 LOTE1 MANZ 40,GARITA DE JUAREZ,ACAPULCO DE JUAREZ,39650,16.87683,-99.86999
ACAPULCO 37,ACAPULCO DE JUAREZ,LOCAL 4,COSTA AZUL,ACAPULCO DE JUAREZ,39850,16.85167,-99.84839
ACAPULCO 38,ACAPULCO DE JUAREZ,S/N,MOZIMBA,ACAPULCO DE JUAREZ,39460,16.86484,-99.92744
ACAPULCO 39,ACAPULCO DE JUAREZ,191,PROGRESO,ACAPULCO DE JUAREZ,39350,16.86023,-99.89211
ACAPULCO 4,ACAPULCO DE JUAREZ,46,CENTRO,ACAPULCO DE JUAREZ,39300,16.85707,-99.90396
ACAPULCO 40,ACAPULCO DE JUAREZ,90,CENTRO,ACAPULCO DE JUAREZ,39300,16.85614,-99.90119
ACAPULCO 41,ACAPULCO DE JUAREZ,LT 7 BMZA 11 A,FARALLON DEL OBISPO,ACAPULCO DE JUAREZ,39690,16.86356,-99.8691
ACAPULCO 5,ACAPULCO DE JUAREZ,7,VICENTE GUERRERO,ACAPULCO DE JUAREZ,39760,16.8785,-99.85542
ACAPULCO 6,ACAPULCO DE JUAREZ,54,COSTA AZUL,ACAPULCO DE JUAREZ,39580,16.85087,-99.85231
ACAPULCO 7,ACAPULCO DE JUAREZ,180,FRACCIONAMIENTO MAGALLANES,ACAPULCO DE JUAREZ,39670,16.86096,-99.87508
ACAPULCO 8,ACAPULCO DE JUAREZ,21,LA ESPERANZA,ACAPULCO DE JUAREZ,39810,16.84657,-99.81358
ACAPULCO 9,ACAPULCO DE JUAREZ,3,LAS PLAYAS,ACAPULCO DE JUAREZ,39390,16.83231,-99.90339
"ACATLAN DE JUAREZ 1, JAL",ACATLAN DE JUAREZ,201,CENTRO,ACATLAN DE JUAREZ,45700,20.42541,-103.5964
ACAYUCAN 1,ACAYUCAN,308,ACAYUCAN CENTRO,ACAYUCAN,96000,17.95258,-94.917
ACAYUCAN 2,ACAYUCAN,903,ACAYUCAN CENTRO,ACAYUCAN,96000,17.94947,-94.91647
ACAYUCAN 3,ACAYUCAN,104,ZAPOTAL,ACAYUCAN,96039,17.94946,-94.90617
ACAYUCAN 4,ACAYUCAN,2000,BARRIO DE SAN DIEGO,ACAYUCAN,96055,17.94834,-94.92277
AEROPUERTO,CIUDAD DE MEXICO,LC NB-24SL B,PEÑON DE LOS BAÑOS,CIUDAD DE MEXICO,15520,19.43341,-99.08559
AEROPUERTO 2,CIUDAD DE MEXICO,LC 92T1Y 93T1,PEÑON DE LOS BAÑOS,CIUDAD DE MEXICO,15520,19.43553,-99.083
AGRICOLA ORIENTAL 1,CIUDAD DE MEXICO,330,AGRICOLA ORIENTAL,CIUDAD DE MEXICO,08500,19.3946,-99.07284
AGRICOLA ORIENTAL 2,CIUDAD DE MEXICO,285,AGRICOLA ORIENTAL,CIUDAD DE MEXICO,08500,19.39192,-99.07402
AGUA DULCE 1,AGUA DULCE,S/N,CENTRO,AGUA DULCE,96600,18.14341,-94.14111
AGUA DULCE 2,AGUA DULCE,235,AGUA DULCE CENTRO,AGUA DULCE,96600,18.14089,-94.14181
AGUA DULCE 3,AGUA DULCE,6,EMILIANO ZAPATA,AGUA DULCE,96620,18.13759,-94.15063
"ALPES 1, D.F.",CIUDAD DE MEXICO,48,LOS ALPES,CIUDAD DE MEXICO,01010,19.36273,-99.19107
ANAHUAC 2,CIUDAD DE MEXICO,43,ANAHUAC,CIUDAD DE MEXICO,11320,19.44021,-99.1766
ANAHUAC 3,CIUDAD DE MEXICO,96,ANAHUAC,CIUDAD DE MEXICO,11400,19.45006,-99.18359
ANTILLAS,CIUDAD DE MEXICO,318,PORTALES SUR,CIUDAD DE MEXICO,03300,19.36847,-99.14294
APATLACO 1,CIUDAD DE MEXICO,33,APATLACO,CIUDAD DE MEXICO,09430,19.3795,-99.11473
APATZINGAN 1,APATZINGAN,16 D,CENTRO,APATZINGAN,60600,19.08398,-102.3558
APATZINGAN 3,APATZINGAN,7,APATZINGAN DE LA CONSTITUCION CENTRO,APATZINGAN,60600,19.08679,-102.3542
APATZINGAN 5,APATZINGAN,77 A,APATZINGAN DE LA CONSTITUCION CENTRO,APATZINGAN,60600,19.08381,-102.3557
ARAGON LA VILLA,CIUDAD DE MEXICO,S/N (70),ARAGON LA VILLA,CIUDAD DE MEXICO,07000,19.48044,-99.11531
ARCELIA 1,ARCELIA,19,CENTRO,ARCELIA,40500,18.31727,-100.2841
ARCELIA 2,ARCELIA,3,ARCELIA CENTRO,ARCELIA,40500,18.31583,-100.2833
ARCELIA 3,ARCELIA,S/N,LINDAVISTA,ARCELIA,40500,18.32179,-100.2812
ARCOS DE BELEN 2,CIUDAD DE MEXICO,26,DOCTORES,CIUDAD DE MEXICO,06720,19.42678,-99.14388
"ARIO DE ROSALES, MCH",ARIO,36,ARIO DE ROSALES,ARIO,61830,19.20633,-101.7092
ASTURIAS,CIUDAD DE MEXICO,65,ASTURIAS,CIUDAD DE MEXICO,06850,19.40845,-99.13196
ATIZAPAN 3,CIUDAD ADOLFO LOPEZ MATEOS,53 MZ 122LT 3,CERRO GRANDE,CIUDAD ADOLFO LOPEZ MATEOS,52920,19.57991,-99.21615
AV. CENTRAL 2,ECATEPEC,MZ 59,VALLE DE ANAHUAC SECC A,ECATEPEC,55210,19.51466,-99.03678
AV. CENTRAL 3,NEZAHUALCOYOTL,773,VALLE DE ARAGON SEGUNDA SECC,NEZAHUALCOYOTL,57100,19.48749,-99.04773
AV. JALISCO,CIUDAD DE MEXICO,4,TACUBAYA,CIUDAD DE MEXICO,11870,19.40064,-99.18793
AV. JALISCO 2,CIUDAD DE MEXICO,7,TACUBAYA,CIUDAD DE MEXICO,11870,19.40594,-99.1852
AV. MEXICO 1,CIUDAD DE MEXICO,1067,SANTA TERESA,CIUDAD DE MEXICO,10710,19.31097,-99.22543
AVENIDA 8,CIUDAD DE MEXICO,196,IGNACIO ZARAGOZA,CIUDAD DE MEXICO,15000,19.41254,-99.08996
AYUNTAMIENTO 1,CIUDAD DE MEXICO,14,CENTRO,CIUDAD DE MEXICO,06000,19.43034,-99.14228
AYUNTAMIENTO 2,CIUDAD DE MEXICO,77,CENTRO,CIUDAD DE MEXICO,06050,19.43106,-99.14607
BALDERAS 1,CIUDAD DE MEXICO,33,CENTRO,CIUDAD DE MEXICO,06040,19.43455,-99.14756
